Name,Link,playerID
Edwards,https://www.baseball-reference.com/players/e/edwar01.shtml,edwar01
Hugh Gilgan,https://www.baseball-reference.com/players/g/gilgahu01.shtml,gilgahu01
Rit Harrison,https://www.baseball-reference.com/players/h/harriri01.shtml,harriri01
Hellings,https://www.baseball-reference.com/players/h/helli01.shtml,helli01
John McKelvey,https://www.baseball-reference.com/players/m/mckeljo01.shtml,mckeljo01
Tricky Nichols,https://www.baseball-reference.com/players/n/nichotr01.shtml,nichotr01
Robert Stevens,https://www.baseball-reference.com/players/s/stevero01.shtml,stevero01
Fred Warner,https://www.baseball-reference.com/players/w/warnefr01.shtml,warnefr01
Sam Weaver,https://www.baseball-reference.com/players/w/weavesa01.shtml,weavesa01
Charles Witherow,https://www.baseball-reference.com/players/w/withech01.shtml,withech01
John Abadie,https://www.baseball-reference.com/players/a/abadijo01.shtml,abadijo01
Harry Arundel,https://www.baseball-reference.com/players/a/arundha01.shtml,arundha01
Boland,https://www.baseball-reference.com/players/b/bolan01.shtml,bolan01
Joe Ellick,https://www.baseball-reference.com/players/e/ellicjo01.shtml,ellicjo01
Pud Galvin,https://www.baseball-reference.com/players/g/galvipu01.shtml,galvipu01
Thomas Gilmore,https://www.baseball-reference.com/players/g/gilmoji01.shtml,gilmoji01
Charley Jones,https://www.baseball-reference.com/players/j/jonesch01.shtml,jonesch01
George Knight,https://www.baseball-reference.com/players/k/knighge01.shtml,knighge01
Bill McCloskey,https://www.baseball-reference.com/players/m/mcclobi01.shtml,mcclobi01
Trick McSorley,https://www.baseball-reference.com/players/m/mcsortr01.shtml,mcsortr01
Alfred Metcalfe,https://www.baseball-reference.com/players/m/metcaal01.shtml,metcaal01
Molly Moore,https://www.baseball-reference.com/players/m/mooremo01.shtml,mooremo01
Horatio Munn,https://www.baseball-reference.com/players/m/munnho01.shtml,munnho01
Quinn,https://www.baseball-reference.com/players/q/quinnpa01.shtml,quinnpa01
William Rexter,https://www.baseball-reference.com/players/r/rextewi01.shtml,rextewi01
Shaffer,https://www.baseball-reference.com/players/s/shaff01.shtml,shaff01
Sheridan,https://www.baseball-reference.com/players/s/sheri01.shtml,sheri01
